text,value
son-of-a-bitch,1.2
sonna bitch,1.2
sonofabitch,1.4
sonofbitches,1.0
sons of b1tches,1.6
sons of bitches,1.6
sons-of-bitches,1.4
sonz of bitchez,1.8
soppy bollucks,1.6
spanking,1.0
sperm,1.0
sphincter,1.0
spic,3.0
spicfuck,3.0
spick,2.8
spics,2.8
spicshit,3.0
spig,2.6
spik,3.0
spix,3.0
spook,3.0
spooks,2.6
spunk,1.2
stfu,1.8
stump chewer,1.4
stupid fucker,2.4
stupid hoe,2.4
stupidasses,1.0
suck,1.0
suck my cock,2.2
suck my d,1.8
suck my dick,2.2
suck off,1.8
sum of a bitch,1.4
sumbitch,1.6
swine,1.0
swine fucker,2.8
tacohead,2.4
tadger,1.4
taking the piss,1.0
tallywacker,1.2
tar-baby,2.6
tard,2.8
tard asses,3.0
tart,1.2
throat yogurt,1.8
throater,2.4
tickle the pickle,1.2
timber nigger,3.0
tits,1.0
tongue fucker,2.4
tongue fucking,2.8
tosser,1.2
tossing salad,1.8
towelhead,3.0
towelheads,3.0
towelshithead,2.6
tramp,1.6
Tranny,2.8
transvestite,2.4
trashb1tch,1.8
trashbitch,2.0
trashbitches,1.4
trashbitchez,1.2
trashbtch,1.4
trasherbitch,1.4
trasherbitchs,1.2
trashybitches,1.8
trouser snake,1.0
trousersnake,1.4
turdcutter,1.6
turdhead,1.6
tw@t,1.8
twa+,1.2
twat,1.8
twat waffle,2.0
twatface,2.4
twats,1.6
twatt,1.6
twattish,1.6
twatzilla,2.0
twink,1.2
upskirts,1.4
useless fucker,2.6
vag,1.2
vajayjay,1.2
vulva,1.0
w@nker,1.2
w@nkers,1.0
w4nk3r,1.6
w4nker,1.0
wang,1.4
wang wrangler,2.0
wank,1.0
wank off,1.0
wank3r,1.0
wank3rs,1.0
wankbastard,1.8
wanked,1.2
wanker,1.0
wankers,1.0
wankies,1.6
wanking,1.0
wanks,1.0
we1back,2.6
weenie,1.0
weiner,1.0
wet back,2.8
wetback,3.0
wetbacks,2.6
wh0r3,2.0
wh0re,2.0
whack off,1.2
what the fuck,2.2
whoar,1.8
whoars,2.0
whor3,1.8
whore,1.8
whores,2.0
wigger,2.6
willy-whacker,1.8
window licker,1.8
wise ass,1.0
wnker,1.0
wop,2.4
wophead,2.2
zip in the wire,1.4
zipperhead,2.4
