text,value
coon,3.0
coon1es,3.0
cooni3s,2.4
coonie,2.8
coonies,3.0
coons,2.8
coot,1.6
coot coot,1.4
cooter,1.2
cooter shooting,2.6
cooterpuffing,2.4
cooties,1.0
cotton picker,2.8
crazy mofos,1.4
crazy sob,1.4
creampie,2.2
crotch,1.0
crotch fiddler,2.2
crotchy,1.4
crow,1.0
crows,1.4
cuksuker,2.4
cuksukka,2.2
cum goon,2.0
cumball,2.4
cumdumpster,2.8
cumming,1.6
cums,1.4
cumslut,2.8
cumz,2.0
cunnilingus,2.0
cunt,2.6
cunt ass,2.8
cunt fart,2.6
cunt lick,3.0
cunt licker,3.0
cunt lips,2.8
cuntasaurus rex,2.8
cuntbag,3.0
cuntbollock,2.2
cuntelope,2.4
cuntits,2.8
cuntless,2.8
cuntlick,3.0
cuntlicker,2.4
cuntlickers,2.6
cuntness,3.0
cunts,2.6
cunty,2.8
cuntz,2.8
cuunt,2.6
cyberfck,2.2
cyberfcks,2.4
cyberfuccs,2.2
cyberfucks,2.2
cyberfucs,2.0
cyberfukk,2.0
cyberfukks,2.2
cyberfvcks,2.2
d!ck,1.0
d!cks,1.0
d!ld0,1.4
d!ldo,1.4
d0ggy style,1.8
d1ck,1.0
d1ckhead,1.8
d1ckheads,1.8
d1cks,1.4
d1cksucker,1.8
d1cksukka,2.0
d1ckz,1.0
d1ldo,1.4
dafuq,2.2
dago,2.2
darkass,2.6
darkfuck,2.4
darkie,2.8
darkshit,3.0
darktard,3.0
darky,2.8
dick breath,2.0
dick face,1.8
dick fucker,2.8
dick head,1.8
dick licker,2.4
dick milker,2.2
dick nibbler,2.4
dick smoker,2.4
dick sucker,2.2
dick-face,1.8
dick-gobbler,1.8
dick-head,1.8
dickface,2.0
dickfucker,2.8
dickhead,2.0
dickheads,1.6
dickjockies,2.2
dickless,1.4
dicklicker,2.2
dickmuncher,2.0
dicks,1.0
dickskin,1.8
dickslapper,1.8
dicksmoker,2.8
dicksucker,2.2
dickvag,1.6
dickz,1.2
diddle,1.0
dikhead,1.6
diks,1.2
dild0,1.0
dipsh1t,1.6
dipsh1tty,1.6
dipshat,1.2
dipshidiot,1.6
dipshit,1.4
dipshite,1.6
dipshits,1.6
dipshitter,1.6
dipshitty,1.8
dipstick,1.2
dirty sanchez,2.4
dix,1.0
dlck,1.2
dlcks,1.0
dog fuck,2.8
dog fucker,3.0
dog fucking,2.8
dog shit,1.2
dog-fucker,2.8
dog's bollocks,1.2
doggo style,1.2
doggy style,1.4
